Home Team,Number,Name,Total Points,Break Points,W-L
FLUMINENSE,1,LARA NOBRE,11,3,8
FLUMINENSE,2,LARISSA GONGRA,-,-,-
FLUMINENSE,4,DANIELA SEIBT,-,-,-
FLUMINENSE,5,PIETRA JUKOSKI SILVA,1,-,-1
FLUMINENSE,6,GABRIELA CANDIDO,23,11,20
FLUMINENSE,7,LAYS FERNANDA FREITAS,6,2,6
FLUMINENSE,8,JUMA SILVA,3,1,-
FLUMINENSE,9,AMANDA RODRIGUES,-,-,-
FLUMINENSE,11,MAYARA BARCELOS,-,-,-
FLUMINENSE,14,ELINA RODRIGUEZ,20,9,9
FLUMINENSE,15,KIMBERLY GOMES,7,3,6
FLUMINENSE,16,BRUNA MORAES,10,6,5
FLUMINENSE,18,STEFANIE TARRAGA (L),-,-,-
FLUMINENSE,20,LETICIA MOURA (L),-,-,-1
FLUMINENSE,,TOTAIS,81,35,52
